Individual,Species,Treatment,Tray,NoduleNumber,TotalNoduleWeight,DateHarvested,Notes,Soils,ARAs
452,CN ,S1,23,65,0.0355,6/11/2024,,soils collected,ARA
461,CN ,S1,24,36,0.0284,6/11/2024,,,
462,CN ,S1,24,37,0.026,6/11/2024,,soils collected,ARA
463,CN ,S1,24,85,0.0499,6/11/2024,,,
464,CN ,S1,24,44,0.0412,6/12/2024,,soils collected,ARA
473,CN ,S1,24,40,0.025,6/12/2024,,soils collected,ARA
474,CN ,S1,24,82,0.0857,6/12/2024,,soils collected,ARA
475,CN ,S1,24,50,0.0354,6/11/2024,,,
476,CN ,S1,24,22,0.0151,6/12/2024,,soils collected,ARA
485,CN ,S1,25,20,0.0239,6/11/2024,,,
486,CN ,S1,25,42,0.025,6/12/2024,,soils collected,ARA
487,CN ,S1,25,24,0.0103,6/12/2024,nodules look darker and dry (not dead yet),,
488,CN ,S1,25,35,0.0227,6/12/2024,,soils collected,ARA
497,CN ,S1,25,11,0.0124,6/12/2024,,,
498,CN ,S1,25,22,0.0381,6/12/2024,,soils collected,ARA
499,CN ,S1,25,21,0.0196,6/12/2024,,soils collected,ARA
500,CN ,S1,25,12,0.0239,6/12/2024,,,
509,CN ,S1,26,44,0.0284,6/13/2024,,,
510,CN ,S1,26,29,0.0288,6/13/2024,,soils collected,ARA
511,CN ,S1,26,36,0.0349,6/13/2024,,soils collected,ARA
512,CN ,S1,26,30,0.0369,6/13/2024,,,
521,CN ,S1,27,51,0.013,6/13/2024,,,
522,CN ,S1,27,41,0.0395,6/13/2024,,soils collected,ARA
523,CN ,S1,27,40,0.0143,6/13/2024,,,
524,CN ,S1,27,42,0.0196,6/13/2024,,soils collected,ARA
533,CN ,S1,27,43,0.0263,6/13/2024,,,
534,CN ,S1,27,33,0.0247,6/13/2024,,,
535,CN ,S1,27,39,0.0324,6/13/2024,,soils collected,ARA
536,CN ,S1,27,15,0.0093,6/13/2024,,,
545,CN ,S1,28,64,0.064,6/13/2024,,soils collected,ARA
546,CN ,S1,28,76,0.0729,6/13/2024,,,
547,CN ,S1,28,31,0.0285,6/13/2024,,soils collected,ARA
548,CN ,S1,28,51,0.0208,6/13/2024,,,
557,CN ,S1,28,48,0.0387,6/13/2024,,soils collected,ARA
558,CN ,S1,28,103,0.0604,6/13/2024,,,
559,CN ,S1,28,235,0.1837,6/13/2024,,soils collected,ARA
560,CN ,S1,28,45,0.0151,6/13/2024,,,
569,CN ,S1,29,79,0.0219,6/13/2024,,soils collected,ARA
570,CN ,S1,29,35,0.0085,6/13/2024,,,
571,CN ,S1,29,53,0.0254,6/13/2024,,,
572,CN ,S1,29,39,0.0216,6/13/2024,,soils collected,ARA
585,CN ,S1,30,33,0.0361,6/13/2024,,,
586,CN ,S1,30,24,0.0241,6/13/2024,,,
587,CN ,S1,30,16,0.0179,6/13/2024,,soils collected,ARA
588,CN ,S1,30,22,0.0167,6/13/2024,,,
597,CN ,S1,30,31,0.0284,6/13/2024,,soils collected,ARA
598,CN ,S1,30,74,0.064,6/13/2024,,soils collected,ARA
599,CN ,S1,30,27,0.0162,6/13/2024,,,
600,CN ,S1,30,26,0.0222,6/13/2024,,soils collected,ARA
605,CN ,S2,31,0,0,6/7/2024,,,
606,CN ,S2,31,0,0,6/7/2024,,,
607,CN ,S2,31,0,0,6/7/2024,,,
608,CN ,S2,31,0,0,6/7/2024,,,
617,CN ,S2,31,0,0,6/7/2024,,,
618,CN ,S2,31,0,0,6/7/2024,,,
619,CN ,S2,31,0,0,6/7/2024,,,
620,CN ,S2,31,0,0,6/8/2024,,,
629,CN ,S2,32,0,0,6/8/2024,,,
630,CN ,S2,32,0,0,6/14/2024,,soils collected,ARA
631,CN ,S2,32,0,0,6/14/2024,,soils collected,ARA
632,CN ,S2,32,0,0,6/11/2024,,,
645,CN ,S2,33,0,0,6/14/2024,,,
646,CN ,S2,33,0,0,6/11/2024,,,
647,CN ,S2,33,0,0,6/14/2024,,,
648,CN ,S2,33,0,0,6/14/2024,,,
657,CN ,S2,33,0,0,6/11/2024,,,
658,CN ,S2,33,1,0.0081,6/14/2024,,soils collected,ARA
659,CN ,S2,33,0,0,6/11/2024,,,
660,CN ,S2,33,0,0,6/14/2024,,,
665,CN ,S2,34,0,0,6/11/2024,,,
666,CN ,S2,34,0,0,6/12/2024,,,
667,CN ,S2,34,0,0,6/14/2024,,,
668,CN ,S2,34,0,0,6/12/2024,,,
677,CN ,S2,34,0,0,6/12/2024,,,
678,CN ,S2,34,0,0,6/14/2024,,,
679,CN ,S2,34,0,0,6/12/2024,,,
680,CN ,S2,34,0,0,6/14/2024,,soils collected,ARA
689,CN ,S2,35,0,0,6/14/2024,,,
690,CN ,S2,35,0,0,6/12/2024,,,
691,CN ,S2,35,0,0,6/14/2024,,,
692,CN ,S2,35,0,0,6/12/2024,,,
701,CN ,S2,36,0,0,6/14/2024,,,
702,CN ,S2,36,0,0,6/12/2024,,,
703,CN ,S2,36,0,0,6/14/2024,,,
704,CN ,S2,36,0,0,6/14/2024,,,
713,CN ,S2,36,0,0,6/14/2024,,,
714,CN ,S2,36,2,0.0027,6/14/2024,look fake,soils collected,ARA
715,CN ,S2,36,0,0,6/14/2024,,,
716,CN ,S2,36,0,0,6/14/2024,,soils collected,ARA
725,CN ,S2,37,0,0,6/14/2024,,,
726,CN ,S2,37,0,0,6/14/2024,,,
727,CN ,S2,37,0,0,6/14/2024,,,
728,CN ,S2,37,0,0,6/14/2024,,,
737,CN ,S2,37,0,0,6/14/2024,,,
738,CN ,S2,37,0,0,6/14/2024,,,
739,CN ,S2,37,0,0,6/14/2024,,,
740,CN ,S2,37,0,0,6/14/2024,,,
749,CN ,S2,38,0,0,6/14/2024,,,
750,CN ,S2,38,0,0,6/14/2024,,,
751,CN ,S2,38,0,0,6/14/2024,,,
752,CN ,S2,38,0,0,6/14/2024,,,
761,CN ,S2,39,0,0,6/14/2024,,soils collected,ARA
762,CN ,S2,39,0,0,6/14/2024,,,
763,CN ,S2,39,0,0,6/14/2024,,,
764,CN ,S2,39,0,0,6/14/2024,,,
773,CN ,S2,39,0,0,6/14/2024,,,
774,CN ,S2,39,0,0,6/14/2024,,,
775,CN ,S2,39,0,0,6/14/2024,,,
776,CN ,S2,39,0,0,6/14/2024,,,
785,CN ,S2,40,0,0,6/14/2024,,,
786,CN ,S2,40,0,0,6/14/2024,,,
787,CN ,S2,40,0,0,6/14/2024,,,
788,CN ,S2,40,0,0,6/14/2024,,,
797,CN ,S2,40,0,0,6/14/2024,,,
798,CN ,S2,40,0,0,6/17/2024,,,
799,CN ,S2,40,0,0,6/17/2024,,,
800,CN ,S2,40,0,0,6/17/2024,,,
809,CN ,S2,41,0,0,6/17/2024,,,
810,CN ,S2,41,0,0,6/17/2024,,,
811,CN ,S2,41,18,0.0407,6/17/2024,,soils collected,ARA
812,CN ,S2,41,0,0,6/17/2024,,,
821,CN ,S2,42,0,0,6/17/2024,,,
822,CN ,S2,42,0,0,6/17/2024,,,
823,CN ,S2,42,0,0,6/17/2024,,,
824,CN ,S2,42,0,0,6/17/2024,,,
833,CN ,S2,42,0,0,6/17/2024,,,
834,CN ,S2,42,0,0,6/17/2024,,,
835,CN ,S2,42,9,0.0236,6/17/2024,,soils collected,ARA
836,CN ,S2,42,5,0.0106,6/17/2024,,soils collected,ARA
845,CN ,S2,43,0,0,6/17/2024,,,
846,CN ,S2,43,0,0,6/17/2024,,,
847,CN ,S2,43,0,0,6/17/2024,,,
848,CN ,S2,43,0,0,6/17/2024,,,
857,CN ,S2,43,0,0,6/17/2024,,,
858,CN ,S2,43,0,0,6/17/2024,,,
859,CN ,S2,43,6,0.009,6/17/2024,,soils collected,ARA
860,CN ,S2,43,0,0,6/17/2024,,,
869,CN ,S2,44,0,0,6/17/2024,,,
870,CN ,S2,44,0,0,6/17/2024,,,
871,CN ,S2,44,0,0,6/17/2024,,,
872,CN ,S2,44,0,0,6/17/2024,,,
881,CN ,S2,45,0,0,6/17/2024,,,
882,CN ,S2,45,0,0,6/17/2024,,,
883,CN ,S2,45,0,0,6/17/2024,,,
884,CN ,S2,45,0,0,6/17/2024,,,
893,CN ,S2,45,0,0,6/17/2024,,,
894,CN ,S2,45,5,0.0141,6/17/2024,,soils collected,ARA
895,CN ,S2,45,0,0,6/17/2024,,,
896,CN ,S2,45,0,0,6/17/2024,,soils collected,ARA
905,CN ,S3,46,44,0.012,6/7/2024,,,
906,CN ,S3,46,28,0.0327,6/7/2024,,soils collected,ARA
907,CN ,S3,46,21,0.0154,6/7/2024,,soils collected,ARA
908,CN ,S3,46,63,0.0422,6/7/2024,,,
917,CN ,S3,46,27,0.0088,6/7/2024,,soils collected,ARA
918,CN ,S3,46,36,0.0323,6/7/2024,,,
919,CN ,S3,46,33,0.0122,6/7/2024,,,
920,CN ,S3,46,34,0.0123,6/7/2024,,soils collected,ARA
929,CN ,S3,47,32,0.0206,6/7/2024,,soils collected,ARA
930,CN ,S3,47,19,0.02,6/7/2024,,soils collected,ARA
931,CN ,S3,47,19,0.014,6/8/2024,,,
932,CN ,S3,47,28,0.0258,6/8/2024,,soils collected,ARA
941,CN ,S3,48,51,0.0307,6/8/2024,,,
942,CN ,S3,48,46,0.0317,6/8/2024,,soils collected,ARA
943,CN ,S3,48,31,0.0141,6/8/2024,,,
944,CN ,S3,48,17,0.0061,6/8/2024,nodules spilled before weighing. Recovered 11 and weighed them (JS),soils collected,ARA
953,CN ,S3,48,31,0.0338,6/8/2024,,,
954,CN ,S3,48,19,0.0272,6/8/2024,,soils collected,ARA
955,CN ,S3,48,24,0.0713,6/8/2024,,,
956,CN ,S3,48,30,0.028,6/8/2024,,soils collected,ARA
965,CN ,S3,49,44,0.0185,6/9/2024,,,
966,CN ,S3,49,13,0.0081,6/9/2024,,soils collected,ARA
967,CN ,S3,49,30,0.0207,6/9/2024,,soils collected,ARA
968,CN ,S3,49,51,0.0281,6/9/2024,,,
977,CN ,S3,49,29,0.0474,6/9/2024,,,
978,CN ,S3,49,47,0.0232,6/9/2024,,soils collected,ARA
979,CN ,S3,49,38,0.0206,6/9/2024,,,
980,CN ,S3,49,33,0.0228,6/9/2024,,,
989,CN ,S3,50,24,0.0274,6/10/2024,,soils collected,ARA
990,CN ,S3,50,14,0.0333,6/10/2024,,soils collected,ARA
991,CN ,S3,50,83,0.0561,6/10/2024,,,
992,CN ,S3,50,25,0.0121,6/10/2024,,,
1005,CN ,S3,51,37,0.0151,6/10/2024,,soils collected,ARA
1006,CN ,S3,51,46,0.0085,6/10/2024,all nodules dead!,,
1007,CN ,S3,51,60,0.0312,6/10/2024,,soils collected,ARA
1008,CN ,S3,51,26,0.0361,6/10/2024,,,
1017,CN ,S3,51,42,0.0373,6/11/2024,,soils collected,ARA
1018,CN ,S3,51,44,0.0305,6/11/2024,,soils collected,ARA
1019,CN ,S3,51,25,0.0145,6/10/2024,,,
1020,CN ,S3,51,34,0.0535,6/11/2024,,soils collected,ARA
1025,CN ,S3,52,48,0.0271,6/10/2024,,,
1026,CN ,S3,52,31,0.0216,6/11/2024,,soils collected,ARA
1027,CN ,S3,52,35,0.0134,6/10/2024,,,
1028,CN ,S3,52,24,0.0194,6/11/2024,,soils collected,ARA
1037,CN ,S3,52,27,0.0394,6/10/2024,,,
1038,CN ,S3,52,36,0.0106,6/12/2024,,soils collected,ARA
1039,CN ,S3,52,42,0.032,6/10/2024,,,
1040,CN ,S3,52,27,0.013,6/12/2024,,soils collected,ARA
1049,CN ,S3,53,28,0.0217,6/12/2024,,,
1050,CN ,S3,53,41,0.0145,6/12/2024,,,
1051,CN ,S3,53,22,0.0143,6/12/2024,,soils collected,ARA
1052,CN ,S3,53,28,0.0243,6/12/2024,,soils collected,ARA
1061,CN ,S3,54,16,0.0149,6/12/2024,,,
1062,CN ,S3,54,26,0.0183,6/12/2024,,soils collected,ARA
1063,CN ,S3,54,38,0.0285,6/12/2024,,,
1064,CN ,S3,54,33,0.0107,6/12/2024,,soils collected,ARA
1073,CN ,S3,54,30,0.0193,6/12/2024,all nodules dead!,,
1074,CN ,S3,54,30,0.0206,6/12/2024,all nodules dead!,,
1075,CN ,S3,54,30,0.0129,6/12/2024,,soils collected,ARA
1076,CN ,S3,54,20,0.0044,6/12/2024,,,
1085,CN ,S3,55,42,0.0214,6/12/2024,,soils collected,ARA
1086,CN ,S3,55,34,0.0319,6/12/2024,,,
1087,CN ,S3,55,32,0.0151,6/12/2024,,soils collected,ARA
1088,CN ,S3,55,32,0.0376,6/12/2024,,,
1097,CN ,S3,55,30,0.0261,6/12/2024,,,
1098,CN ,S3,55,49,0.028,6/12/2024,,soils collected,ARA
1099,CN ,S3,55,8,0.0051,6/12/2024,,,
1100,CN ,S3,55,47,0.0228,6/12/2024,nodules look darker,soils collected,ARA
1109,CN ,S3,56,30,0.0331,6/12/2024,,,
1110,CN ,S3,56,28,0.023,6/13/2024,,soils collected,ARA
1111,CN ,S3,56,16,0.0174,6/13/2024,,soils collected,ARA
1112,CN ,S3,56,21,0.033,6/13/2024,,soils collected,ARA
1121,CN ,S3,57,28,0.038,6/12/2024,,,
1122,CN ,S3,57,31,0.0205,6/13/2024,,soils collected,ARA
1123,CN ,S3,57,29,0.0359,6/12/2024,,,
1124,CN ,S3,57,30,0.0281,6/13/2024,,soils collected,ARA
1133,CN ,S3,57,43,0.0384,6/12/2024,,,
1134,CN ,S3,57,16,0.0053,6/13/2024,,soils collected,ARA
1135,CN ,S3,57,35,0.0453,6/12/2024,,,
1136,CN ,S3,57,43,0.0378,6/13/2024,,soils collected,ARA
1141,CN ,S3,58,31,0.0267,6/12/2024,,,
1142,CN ,S3,58,39,0.0306,6/13/2024,,soils collected,ARA
1143,CN ,S3,58,22,0.028,6/12/2024,,,
1144,CN ,S3,58,22,0.0166,6/12/2024,,,
1153,CN ,S3,58,50,0.0744,6/13/2024,,soils collected,ARA
1154,CN ,S3,58,11,0.0646,6/12/2024,,,
1155,CN ,S3,58,23,0.0529,6/12/2024,,,
1156,CN ,S3,58,36,0.0147,6/13/2024,,soils collected,ARA
1169,CN ,S3,59,55,0.0507,6/13/2024,,,
1170,CN ,S3,59,62,0.0393,6/13/2024,,soils collected,ARA
1171,CN ,S3,59,32,0.046,6/13/2024,,,
1172,CN ,S3,59,24,0.0199,6/13/2024,,soils collected,ARA
1181,CN ,S3,60,27,0.033,6/13/2024,,soils collected,ARA
1182,CN ,S3,60,30,0.0336,6/13/2024,,,
1183,CN ,S3,60,32,0.0274,6/13/2024,,soils collected,ARA
1184,CN ,S3,60,15,0.0279,6/13/2024,1 nodule also dropped before weighing,,
1193,CN ,S3,60,28,0.0397,6/13/2024,,soils collected,ARA
1194,CN ,S3,60,33,0.0422,6/13/2024,,,
1195,CN ,S3,60,61,0.0436,6/13/2024,,soils collected,ARA
1196,CN ,S3,60,34,0.051,6/13/2024,,,
5,LH,Control,1,0,0,7/21/2024,,,
6,LH,Control,1,0,0,7/21/2024,,,
7,LH,Control,1,0,0,7/21/2024,,soils collected,
8,LH,Control,1,0,0,7/21/2024,,,
17,LH,Control,1,0,0,7/21/2024,,,
18,LH,Control,1,1,0.0008,7/21/2024,,soils collected,
19,LH,Control,1,0,0,7/21/2024,,soils collected,
20,LH,Control,1,0,0,7/21/2024,,,
25,LH,Control,2,0,0,7/21/2024,,,
26,LH,Control,2,0,0,7/21/2024,,soils collected,
27,LH,Control,2,0,0,7/21/2024,,soils collected,
28,LH,Control,2,0,0,7/21/2024,,,
37,LH,Control,2,0,0,7/21/2024,,,
38,LH,Control,2,0,0,7/21/2024,,soils collected,
39,LH,Control,2,0,0,7/21/2024,,,
40,LH,Control,2,0,0,7/21/2024,,,
49,LH,Control,3,0,0,7/21/2024,,soils collected,
50,LH,Control,3,0,0,7/21/2024,,,
51,LH,Control,3,0,0,7/21/2024,,soils collected,
52,LH,Control,3,0,0,7/21/2024,,soils collected,
61,LH,Control,4,0,0,7/21/2024,,,
62,LH,Control,4,0,0,7/21/2024,,,
63,LH,Control,4,0,0,7/21/2024,,soils collected,
64,LH,Control,4,0,0,7/21/2024,,,
73,LH,Control,4,0,0,7/21/2024,,,
74,LH,Control,4,0,0,7/21/2024,,soils collected,
75,LH,Control,4,0,0,7/21/2024,,,
76,LH,Control,4,0,0,7/21/2024,,soils collected,
81,LH,Control,5,13,0.0068,7/21/2024,,soils collected,
82,LH,Control,5,0,0,7/21/2024,,soils collected,
83,LH,Control,5,5,0.0024,7/21/2024,,,
84,LH,Control,5,0,0,7/21/2024,,soils collected,
93,LH,Control,5,0,0,7/21/2024,,,
94,LH,Control,5,13,0.0068,7/21/2024,,soils collected,
95,LH,Control,5,0,0,7/21/2024,,,
96,LH,Control,5,0,0,7/21/2024,,soils collected,
109,LH,Control,6,4,0.0075,7/21/2024,,soils collected,
110,LH,Control,6,5,0.0077,7/21/2024,,soils collected,
111,LH,Control,6,0,0,7/21/2024,,soils collected,
112,LH,Control,6,1,0.0062,7/21/2024,,,
121,LH,Control,7,0,0,7/21/2024,,,
122,LH,Control,7,0,0,7/21/2024,,soils collected,
123,LH,Control,7,0,0,7/21/2024,,soils collected,
124,LH,Control,7,9,0.0328,7/21/2024,,soils collected,
133,LH,Control,7,0,0,7/22/2024,,,
134,LH,Control,7,0,0,7/22/2024,,soils collected,
135,LH,Control,7,0,0,7/22/2024,,soils collected,
136,LH,Control,7,0,0,7/22/2024,,soils collected,
145,LH,Control,8,0,0,7/23/2024,,,
146,LH,Control,8,0,0,7/23/2024,,soils collected,
147,LH,Control,8,0,0,7/23/2024,,,
148,LH,Control,8,0,0,7/23/2024,,,
157,LH,Control,8,0,0,7/23/2024,,soils collected,
158,LH,Control,8,0,0,7/23/2024,,,
159,LH,Control,8,0,0,7/23/2024,,soils collected,
160,LH,Control,8,0,0,7/23/2024,,,
169,LH,Control,9,6,0.0096,7/23/2024,,soils collected,ARA?
170,LH,Control,9,0,0,7/23/2024,,soils collected,
171,LH,Control,9,0,0,7/23/2024,,,
172,LH,Control,9,0,0,7/23/2024,,soils collected,
185,LH,Control,10,4,0.0064,7/23/2024,,,
186,LH,Control,10,0,0,7/23/2024,,,
187,LH,Control,10,0,0,7/23/2024,,soils collected,
188,LH,Control,10,0,0,7/23/2024,,soils collected,
197,LH,Control,10,0,0,7/23/2024,plant dead. Still had biomass,,
198,LH,Control,10,0,0,7/23/2024,,soils collected,
199,LH,Control,10,0,0,7/23/2024,,,
200,LH,Control,10,0,0,7/23/2024,,soils collected,
201,LH,Control,11,0,0,7/23/2024,,soils collected,
202,LH,Control,11,0,0,7/23/2024,,,
203,LH,Control,11,0,0,7/23/2024,,soils collected,
204,LH,Control,11,6,0.0082,7/23/2024,,,
213,LH,Control,11,0,0,7/23/2024,,soils collected,
214,LH,Control,11,0,0,7/23/2024,,,
215,LH,Control,11,0,0,7/23/2024,,,
216,LH,Control,11,0,0,7/23/2024,,soils collected,
229,LH,Control,12,0,0,7/23/2024,,,
230,LH,Control,12,0,0,7/23/2024,,,
231,LH,Control,12,0,0,7/23/2024,,soils collected,
232,LH,Control,12,0,0,7/23/2024,,soils collected,
241,LH,Control,13,0,0,7/23/2024,,,
242,LH,Control,13,4,0.0076,7/23/2024,,,
243,LH,Control,13,0,0,7/23/2024,,soils collected,
244,LH,Control,13,0,0,7/23/2024,,soils collected,
253,LH,Control,13,0,0,7/23/2024,,,
254,LH,Control,13,0,0,7/23/2024,,soils collected,
255,LH,Control,13,0,0,7/23/2024,,,
256,LH,Control,13,14,0.0282,7/23/2024,,,
265,LH,Control,14,0,0,7/23/2024,,soils collected,
266,LH,Control,14,0,0,7/23/2024,,soils collected,
267,LH,Control,14,0,0,7/23/2024,,,
268,LH,Control,14,0,0,7/23/2024,,soils collected,
277,LH,Control,14,0,0,7/23/2024,,soils collected,
278,LH,Control,14,0,0,7/23/2024,,soils collected,
279,LH,Control,14,18,0.0177,7/23/2024,,,
280,LH,Control,14,0,0,7/23/2024,,soils collected,
289,LH,Control,15,0,0,7/23/2024,,,
290,LH,Control,15,0,0,7/23/2024,,,
291,LH,Control,15,0,0,7/23/2024,,soils collected,
292,LH,Control,15,0,0,7/23/2024,,,
301,LH,S1,16,8,0.0088,7/19/2024,,soils collected,ARA
302,LH,S1,16,12,0.0128,7/19/2024,,,
303,LH,S1,16,8,0.0061,7/19/2024,,soils collected,ARA
304,LH,S1,16,4,0.0029,7/19/2024,,,
313,LH,S1,16,7,0.0064,7/19/2024,,soils collected,ARA
314,LH,S1,16,13,0.0091,7/19/2024,,,
315,LH,S1,16,4,0.0027,7/19/2024,,soils collected,ARA
316,LH,S1,16,13,0.0031,7/19/2024,all nodules dead!,,
325,LH,S1,17,22,0.0232,7/19/2024,,soils collected,ARA
326,LH,S1,17,14,0.0362,7/19/2024,,,
327,LH,S1,17,8,0.0122,7/19/2024,,,
328,LH,S1,17,14,0.0333,7/19/2024,,soils collected,ARA
337,LH,S1,17,8,0.0038,7/19/2024,,soils collected,ARA
338,LH,S1,17,6,0.0062,7/19/2024,,,
339,LH,S1,17,6,0.0095,7/19/2024,,soils collected,ARA
340,LH,S1,17,5,0.0026,7/19/2024,,,
349,LH,S1,18,13,0.0384,7/20/2024,,soils collected,ARA
350,LH,S1,18,26,0.0608,7/20/2024,,soils collected,ARA
351,LH,S1,18,15,0.0187,7/19/2024,,,
352,LH,S1,18,28,0.0377,7/19/2024,,,
361,LH,S1,19,16,0.0298,7/20/2024,,soils collected,ARA
362,LH,S1,19,5,0.0202,7/20/2024,,,
363,LH,S1,19,6,0.0035,7/20/2024,,soils collected,ARA
364,LH,S1,19,7,0.0058,7/20/2024,,,
373,LH,S1,19,8,0.0135,7/20/2024,,soils collected,ARA
374,LH,S1,19,11,0.0086,7/20/2024,,,
375,LH,S1,19,8,0.0036,7/20/2024,,,
376,LH,S1,19,8,0.0055,7/20/2024,,soils collected,ARA
385,LH,S1,20,8,0.0051,7/21/2024,,,
386,LH,S1,20,29,0.0391,7/20/2024,,soils collected,ARA
387,LH,S1,20,40,0.0476,7/21/2024,,,
388,LH,S1,20,17,0.0275,7/20/2024,,soils collected,ARA
397,LH,S1,20,15,0.0271,7/21/2024,,soils collected,ARA
398,LH,S1,20,6,0.003,7/21/2024,,,
399,LH,S1,20,14,0.0278,7/21/2024,,,
400,LH,S1,20,17,0.0175,7/21/2024,,soils collected,ARA
409,LH,S1,21,9,0.0206,7/21/2024,,soils collected,ARA
410,LH,S1,21,15,0.0081,7/21/2024,,,
411,LH,S1,21,8,0.0049,7/21/2024,,soils collected,ARA
412,LH,S1,21,6,0.0042,7/21/2024,,,
421,LH,S1,22,20,0.0258,7/21/2024,,soils collected,ARA
422,LH,S1,22,13,0.0268,7/21/2024,,,
423,LH,S1,22,8,0.023,7/21/2024,,,
424,LH,S1,22,21,0.0342,7/21/2024,,soils collected,ARA
433,LH,S1,22,11,0.0146,7/21/2024,,soils collected,ARA
434,LH,S1,22,2,0.0049,7/21/2024,,,
435,LH,S1,22,8,0.0124,7/21/2024,,soils collected,ARA
436,LH,S1,22,7,0.0173,7/21/2024,,,
445,LH,S1,23,10,0.0124,7/21/2024,,soils collected,ARA
446,LH,S1,23,12,0.0167,7/21/2024,,,
447,LH,S1,23,1,0.0024,7/21/2024,,soils collected,ARA
448,LH,S1,23,6,0.023,7/21/2024,,,
457,LH,S1,23,11,0.0092,7/21/2024,plant and nodules look dead,,
458,LH,S1,23,7,0.0025,7/21/2024,nodules look dead,soils collected,ARA
459,LH,S1,23,7,0.0047,7/21/2024,,,
460,LH,S1,23,8,0.0093,7/21/2024,,,
469,LH,S1,24,3,0.0037,7/22/2024,,soils collected,ARA
470,LH,S1,24,5,0.0085,7/22/2024,,soils collected,ARA
471,LH,S1,24,10,0.0109,7/21/2024,,,
472,LH,S1,24,8,0.0095,7/22/2024,,soils collected,ARA
481,LH,S1,25,33,0.0758,7/21/2024,,,
482,LH,S1,25,15,0.02,7/22/2024,,soils collected,ARA
483,LH,S1,25,37,0.0786,7/22/2024,,soils collected,ARA
484,LH,S1,25,5,0.006,7/21/2024,,,
493,LH,S1,25,10,0.029,7/21/2024,,,
494,LH,S1,25,5,0.0087,7/22/2024,,soils collected,ARA
495,LH,S1,25,2,0.0068,7/22/2024,,,
496,LH,S1,25,14,0.0144,7/22/2024,,soils collected,ARA
501,LH,S1,26,19,0.0191,7/22/2024,,soils collected,ARA
502,LH,S1,26,16,0.0265,7/21/2024,,,
503,LH,S1,26,13,0.0117,7/22/2024,,soils collected,ARA
504,LH,S1,26,11,0.0098,7/21/2024,,,
513,LH,S1,26,7,0.0119,7/22/2024,,soils collected,ARA
514,LH,S1,26,11,0.0089,7/22/2024,,soils collected,ARA
515,LH,S1,26,15,0.0244,7/22/2024,plant and nodules look dead,,
516,LH,S1,26,10,0.0101,7/22/2024,plant mostly dead; darker nodules but they look okay?,,
529,LH,S1,27,9,0.0108,7/22/2024,,soils collected,ARA
530,LH,S1,27,11,0.0124,7/22/2024,,soils collected,ARA
531,LH,S1,27,21,0.0436,7/22/2024,,,
532,LH,S1,27,11,0.0142,7/22/2024,,,
541,LH,S1,28,13,0.0112,7/23/2024,,soils collected,ARA
542,LH,S1,28,7,0.0042,7/22/2024,,,
543,LH,S1,28,11,0.0097,7/23/2024,,soils collected,ARA
544,LH,S1,28,16,0.0142,7/22/2024,plant and nodules look dead,,
553,LH,S1,28,10,0.0159,7/23/2024,,soils collected,
554,LH,S1,28,8,0.0248,7/22/2024,,,
555,LH,S1,28,22,0.0463,7/23/2024,,soils collected,
556,LH,S1,28,4,0.0091,7/22/2024,,,
565,LH,S1,29,23,0.0158,7/23/2024,,,
566,LH,S1,29,11,0.0096,7/23/2024,,soils collected,
567,LH,S1,29,9,0.0157,7/23/2024,,,
568,LH,S1,29,13,0.0143,7/23/2024,,,
577,LH,S1,29,23,0.0169,7/23/2024,,soils collected,
578,LH,S1,29,10,0.0186,7/23/2024,,,
579,LH,S1,29,14,0.0208,7/23/2024,,soils collected,
580,LH,S1,29,14,0.018,7/23/2024,,,
589,LH,S1,30,18,0.0248,7/23/2024,,soils collected,
590,LH,S1,30,30,0.0418,7/23/2024,,soils collected,
591,LH,S1,30,6,0.004,7/23/2024,,,
592,LH,S1,30,9,0.0115,7/23/2024,,soils collected,
601,LH,S2,31,1,0.0014,7/23/2024,,soils collected,
675,LH,S2,34,3,0.0366,7/23/2024,,,
818,LH,S2,41,0,0,7/23/2024,,,
830,LH,S2,42,3,0.0037,7/23/2024,,,
901,LH,S3,46,13,0.0051,7/20/2024,,soils collected,ARA
902,LH,S3,46,9,0.0045,7/20/2024,plant and nodules look dead,,
903,LH,S3,46,3,0.0011,7/20/2024,plant and nodules look dead,,
904,LH,S3,46,10,0.0056,7/20/2024,plant and nodules look dead,,
913,LH,S3,46,27,0.0529,7/20/2024,,soils collected,ARA
914,LH,S3,46,15,0.0212,7/20/2024,,soils collected,ARA
915,LH,S3,46,20,0.0309,7/20/2024,,,
916,LH,S3,46,5,0.0065,7/20/2024,,soils collected,ARA
925,LH,S3,47,7,0.0024,7/20/2024,plant and nodules look dead,,
926,LH,S3,47,12,0.003,7/20/2024,nodules look dead,,
927,LH,S3,47,11,0.0044,7/20/2024,,soils collected,ARA
928,LH,S3,47,2,0.0009,7/20/2024,nodules look dead,,
937,LH,S3,47,21,0.0325,7/20/2024,,soils collected,ARA
938,LH,S3,47,5,0.0131,7/20/2024,,,
939,LH,S3,47,8,0.0066,7/20/2024,,,
940,LH,S3,47,11,0.0048,7/20/2024,,soils collected,ARA
949,LH,S3,48,8,0.006,7/20/2024,,,
950,LH,S3,48,15,0.0227,7/20/2024,,soils collected,ARA
951,LH,S3,48,7,0.0065,7/20/2024,,soils collected,ARA
952,LH,S3,48,19,0.0235,7/20/2024,,,
